typeCode,freqCode,countryareaCode,countryareaDesc,vesselTypeCode,vesselTypeDesc,flowCode,flowDesc,date,num_pc,mtc,dwt,num_pc_ma,mtc_ma,dwt_ma
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-21T00:00:00,0.0,0.0,0.0,0.167,3180.029,9091.967
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-22T00:00:00,0.0,0.0,0.0,0.167,3180.029,9091.967
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-23T00:00:00,0.0,0.0,0.0,0.167,3180.029,9091.967
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-24T00:00:00,0.0,0.0,0.0,0.167,3180.029,9091.967
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-25T00:00:00,0.0,0.0,0.0,0.167,3180.029,9091.967
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-26T00:00:00,1.0,43046.2,56018.0,0.167,4364.416,9059.667
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-27T00:00:00,0.0,0.0,0.0,0.167,4364.416,9059.667
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-28T00:00:00,0.0,0.0,0.0,0.167,4364.416,9059.667
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-29T00:00:00,0.0,0.0,0.0,0.133,2991.611,7223.4
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-30T00:00:00,0.0,0.0,0.0,0.1,1501.844,4716.733
C,D,400,Jordan,1,Bulk,M,Imports,2024-03-31T00:00:00,0.0,0.0,0.0,0.1,1501.844,4716.733
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-01T00:00:00,0.0,0.0,0.0,0.1,1501.844,4716.733
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-02T00:00:00,0.0,0.0,0.0,0.1,1501.844,4716.733
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-03T00:00:00,0.0,0.0,0.0,0.1,1501.844,4716.733
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-04T00:00:00,0.0,0.0,0.0,0.1,1501.844,4716.733
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-05T00:00:00,0.0,0.0,0.0,0.067,1477.488,2605.6
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-06T00:00:00,0.0,0.0,0.0,0.067,1477.488,2605.6
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-07T00:00:00,0.0,0.0,0.0,0.067,1477.488,2605.6
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-08T00:00:00,0.0,0.0,0.0,0.067,1477.488,2605.6
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-09T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-10T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-11T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-12T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-13T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-14T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-15T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-16T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-17T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-18T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-19T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-20T00:00:00,0.0,0.0,0.0,0.033,1434.874,1867.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-21T00:00:00,1.0,43021.7,81588.0,0.067,2868.932,4586.867
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-22T00:00:00,0.0,0.0,0.0,0.067,2868.932,4586.867
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-23T00:00:00,0.0,0.0,0.0,0.067,2868.932,4586.867
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-24T00:00:00,0.0,0.0,0.0,0.067,2868.932,4586.867
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-25T00:00:00,1.0,43956.3,63500.0,0.067,2899.267,4836.267
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-26T00:00:00,1.0,16220.5,56882.0,0.1,3439.949,6732.333
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-27T00:00:00,0.0,0.0,0.0,0.1,3439.949,6732.333
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-28T00:00:00,0.0,0.0,0.0,0.1,3439.949,6732.333
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-29T00:00:00,0.0,0.0,0.0,0.1,3439.949,6732.333
C,D,400,Jordan,1,Bulk,M,Imports,2024-04-30T00:00:00,1.0,48439.7,79448.0,0.133,5054.607,9380.6
C,D,174,Comoros,1,Bulk,M,Imports,2024-02-18T00:00:00,0.0,0.0,0.0,0.033,421.116,1937.0
C,D,174,Comoros,1,Bulk,M,Imports,2024-02-19T00:00:00,0.0,0.0,0.0,0.033,421.116,1937.0
C,D,174,Comoros,1,Bulk,M,Imports,2024-02-20T00:00:00,0.0,0.0,0.0,0.033,421.116,1937.0
C,D,174,Comoros,1,Bulk,M,Imports,2024-02-21T00:00:00,0.0,0.0,0.0,0.033,421.116,1937.0
C,D,174,Comoros,1,Bulk,M,Imports,2024-02-22T00:00:00,0.0,0.0,0.0,0.033,421.116,1937.0
C,D,174,Comoros,1,Bulk,M,Imports,2024-02-23T00:00:00,0.0,0.0,0.0,0.033,421.116,1937.0
C,D,174,Comoros,1,Bulk,M,Imports,2024-02-24T00:00:00,0.0,0.0,0.0,0.033,421.116,1937.0
C,D,174,Comoros,1,Bulk,M,Imports,2024-02-25T00:00:00,0.0,0.0,0.0,0.033,421.116,1937.0
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-04T00:00:00,2.0,37785.6,57981.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-05T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-06T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-07T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-08T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-09T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-10T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-11T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-12T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-13T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-14T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-15T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-16T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-17T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-18T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-19T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-20T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-21T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-22T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-23T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-24T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-25T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-26T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-27T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-28T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-29T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-30T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-03-31T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-04-01T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
C,D,174,Comoros,1,Bulk,M,Imports,2024-04-02T00:00:00,0.0,0.0,0.0,0.067,1259.519,1932.7
