,ccode,pcode,year,cgdp_c2000,pgdp_c2000
0,AGO,ARG,1985,7220000000.0,187000000000.0
2,AGO,AUS,1985,7220000000.0,236000000000.0
4,AGO,AUT,1985,7220000000.0,128000000000.0
25,AGO,BDI,1985,7220000000.0,673000000.0
26,AGO,BEN,1978,,954000000.0
27,AGO,BGR,1985,7220000000.0,13900000000.0
39,AGO,BMU,1980,6750000000.0,
40,AGO,BRA,1985,7220000000.0,418000000000.0
63,AGO,BRN,1985,7220000000.0,
64,AGO,CAN,1985,7220000000.0,465000000000.0
71,AGO,CHE,1985,7220000000.0,194000000000.0
92,AGO,CHN,1985,7220000000.0,283000000000.0
100,AGO,CIV,1985,7220000000.0,7850000000.0
101,AGO,CIV,1978,,8500000000.0
103,AGO,COG,1985,7220000000.0,2810000000.0
108,AGO,COG,1978,,1340000000.0
109,AGO,COG,1979,,1470000000.0
110,AGO,COG,1980,6750000000.0,1730000000.0
111,AGO,COG,1981,6320000000.0,2030000000.0
124,AGO,COL,1985,7220000000.0,51400000000.0
125,AGO,CUB,1985,7220000000.0,
137,AGO,CYP,1985,7220000000.0,4360000000.0
138,AGO,DEU,1985,7220000000.0,1310000000000.0
152,AGO,DEU,1990,8460000000.0,1550000000000.0
168,AGO,DNK,1979,,108000000000.0
169,AGO,DNK,1985,7220000000.0,118000000000.0
184,AGO,DNK,1991,8360000000.0,127000000000.0
190,AGO,ESP,1985,7220000000.0,346000000000.0
214,AGO,FIN,1985,7220000000.0,85300000000.0
220,AGO,FRA,1978,,812000000000.0
221,AGO,FRA,1979,,838000000000.0
222,AGO,FRA,1985,7220000000.0,926000000000.0
236,AGO,FRA,1990,8460000000.0,1090000000000.0
250,AGO,GAB,1985,7220000000.0,3690000000.0
252,AGO,GAB,1978,,3170000000.0
256,AGO,GBR,1985,7220000000.0,967000000000.0
268,AGO,GBR,1978,,870000000000.0
269,AGO,GBR,1981,6320000000.0,863000000000.0
285,AGO,GBR,1991,8360000000.0,1120000000000.0
286,AGO,GRC,1978,,79900000000.0
287,AGO,HKG,1985,7220000000.0,75100000000.0
298,AGO,HUN,1985,7220000000.0,42100000000.0
306,AGO,IND,1990,8460000000.0,268000000000.0
307,AGO,IRL,1978,,31100000000.0
308,AGO,IRL,1985,7220000000.0,37500000000.0
314,AGO,ITA,1985,7220000000.0,797000000000.0
328,AGO,ITA,1990,8460000000.0,918000000000.0
329,AGO,ITA,1991,8360000000.0,930000000000.0
343,AGO,JPN,1985,7220000000.0,3250000000000.0
361,AGO,KEN,1985,7220000000.0,6720000000.0
362,AGO,KOR,1985,7220000000.0,179000000000.0
363,AGO,LBR,1990,8460000000.0,436000000.0
364,AGO,LBY,1981,6320000000.0,12000000000.0
365,AGO,MAC,1985,7220000000.0,3140000000.0
368,AGO,MMR,1985,7220000000.0,
370,AGO,MOZ,1978,,
371,AGO,MOZ,1979,,
372,AGO,MOZ,1985,7220000000.0,1640000000.0
376,AGO,MYS,1985,7220000000.0,32600000000.0
377,AGO,NGA,1978,,26200000000.0
378,AGO,NGA,1979,,27900000000.0
379,AGO,NGA,1980,6750000000.0,29100000000.0
380,AGO,NGA,1981,6320000000.0,25300000000.0
381,AGO,NLD,1978,,215000000000.0
382,AGO,NLD,1979,,219000000000.0
383,AGO,NLD,1980,6750000000.0,223000000000.0
384,AGO,NLD,1981,6320000000.0,222000000000.0
385,AGO,NLD,1985,7220000000.0,236000000000.0
406,AGO,NLD,1990,8460000000.0,278000000000.0
407,AGO,NLD,1991,8360000000.0,285000000000.0
414,AGO,NOR,1985,7220000000.0,106000000000.0
415,AGO,NOR,1991,8360000000.0,120000000000.0
419,AGO,NZL,1985,7220000000.0,38300000000.0
420,AGO,PAK,1985,7220000000.0,37600000000.0
422,AGO,PAN,1980,6750000000.0,6190000000.0
423,AGO,PAN,1985,7220000000.0,7330000000.0
425,AGO,POL,1985,7220000000.0,
431,AGO,PRK,1985,7220000000.0,
432,AGO,PRT,1978,,53200000000.0
433,AGO,PRT,1979,,56200000000.0
434,AGO,PRT,1981,6320000000.0,59800000000.0
435,AGO,PRT,1985,7220000000.0,61500000000.0
436,AGO,PRT,1991,8360000000.0,84500000000.0
461,AGO,PRT,1990,8460000000.0,81000000000.0
468,AGO,ROM,1985,7220000000.0,48900000000.0
485,AGO,SGP,1985,7220000000.0,29400000000.0
487,AGO,SLV,1985,7220000000.0,7560000000.0
490,AGO,SWE,1985,7220000000.0,174000000000.0
501,AGO,SWE,1978,,150000000000.0
502,AGO,SWE,1979,,156000000000.0
503,AGO,SWE,1980,6750000000.0,158000000000.0
504,AGO,SWE,1981,6320000000.0,158000000000.0
519,AGO,TGO,1990,8460000000.0,1070000000.0
520,AGO,THA,1985,7220000000.0,48600000000.0
523,AGO,TZA,1991,8360000000.0,6940000000.0
524,AGO,USA,1985,7220000000.0,6010000000000.0
531,AGO,USA,1978,,4980000000000.0
532,AGO,USA,1980,6750000000.0,5130000000000.0
533,AGO,USA,1981,6320000000.0,5260000000000.0
546,AGO,YUG,1985,7220000000.0,
559,AGO,ZAF,1990,8460000000.0,111000000000.0
560,AGO,ZAF,1985,7220000000.0,102000000000.0
561,AGO,ZAR,1985,7220000000.0,7700000000.0
564,AGO,ZAR,1978,,6850000000.0
