typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,542359625.0,542359625.0,4,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,0101,"Horses, asses, mules and hinnies; live",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,8000.0,False,0.0,False,,12000.0,12000.0,0,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,010121,"Horses; live, pure-bred breeding animals",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,8,kg,8000.0,False,8000.0,False,0.0,False,,12000.0,12000.0,0,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,0102,Bovine animals; live,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,42382.455,True,-1,N/A,0.0,False,8260791.0,False,0.0,False,,53176960.0,53176960.0,2,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,010290,"Bovine animals; live, other than cattle and buffalo",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,42382.455,True,8,kg,8260791.0,False,8260791.0,False,0.0,False,,53176960.0,53176960.0,2,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,0103,Swine; live,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2346265.929,True,-1,N/A,0.0,False,125645812.0,False,0.0,False,,453861932.0,453861932.0,2,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,3288.167,True,8,kg,50263.0,False,50263.0,False,0.0,False,,184363.0,184363.0,2,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2342977.762,True,8,kg,125595549.0,False,125595549.0,False,0.0,False,,453677569.0,453677569.0,2,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,0104,Sheep and goats; live,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,44600.0,False,0.0,False,,337121.0,337121.0,0,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,010420,Goats; live,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,8,kg,44600.0,False,44600.0,False,0.0,False,,337121.0,337121.0,0,False,True
C,A,20220101,2022,52,2022,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,138568.0,False,0.0,False,,1572807.0,1572807.0,0,False,True
